,ID,Year,LocationAbbr,LocationDesc,Class,Topic,Indicator,Response,DataSource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,LocationOrder,ParentStateDisplayOrder,FootnoteType,FootNoteSymbol,FootnoteText,URL,DatasourceAbbr,Agency
0,2922157.0,2016.0,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.8,,,,,54.0,Overall,Overall,CHCKIDNY,1.0,1.0,,,,,,
1,2921702.0,2016.0,UW,All States and DC (median) **,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.8,,,,,51.0,Overall,Overall,CHCKIDNY,2.0,2.0,,,,,,
2,2696407.0,2016.0,AL,Alabama,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,3.7,,,3.2,4.2,294.0,Overall,Overall,CHCKIDNY,3.0,3.0,,,,,,
3,173307.0,2016.0,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,4.0,,,2.7,5.3,53.0,Overall,Overall,CHCKIDNY,195.0,3.0,,,,,,
4,188197.0,2016.0,46220,"Tuscaloosa, AL Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,1.9,,,0.8,2.9,15.0,Overall,Overall,CHCKIDNY,994.0,3.0,,,,,,
5,2700405.0,2016.0,AK,Alaska,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.3,,,1.3,3.2,77.0,Overall,Overall,CHCKIDNY,4.0,4.0,,,,,,
6,171882.0,2016.0,11260,"Anchorage, AK Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,3.1,,,1.5,4.8,35.0,Overall,Overall,CHCKIDNY,131.0,4.0,,,,,,
7,2703920.0,2016.0,AZ,Arizona,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,3.7,,,3.1,4.3,574.0,Overall,Overall,CHCKIDNY,5.0,5.0,,,,,,
8,183019.0,2016.0,38060,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,3.6,,,2.8,4.3,284.0,Overall,Overall,CHCKIDNY,792.0,5.0,,,,,,
9,2709172.0,2016.0,AR,Arkansas,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,3.7,,,3.0,4.5,283.0,Overall,Overall,CHCKIDNY,6.0,6.0,,,,,,
10,177033.0,2016.0,22220,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,*,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,,,28.0,Overall,Overall,CHCKIDNY,399.0,6.0,,,,,,
11,179807.0,2016.0,30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.9,,,1.6,4.2,53.0,Overall,Overall,CHCKIDNY,603.0,6.0,,,,,,
12,2713300.0,2016.0,CA,California,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.8,,,2.4,3.2,362.0,Overall,Overall,CHCKIDNY,7.0,7.0,,,,,,
13,179711.0,2016.0,31080,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.6,,,1.9,3.3,100.0,Overall,Overall,CHCKIDNY,612.0,7.0,,,,,,
14,181687.0,2016.0,36084,"Oakland-Hayward-Berkeley, CA Metropolitan Division",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,4.0,,,2.1,5.9,25.0,Overall,Overall,CHCKIDNY,740.0,7.0,,,,,,
15,183904.0,2016.0,40140,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,3.5,,,2.3,4.6,48.0,Overall,Overall,CHCKIDNY,842.0,7.0,,,,,,
16,185109.0,2016.0,40900,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,3.4,,,1.9,4.8,35.0,Overall,Overall,CHCKIDNY,862.0,7.0,,,,,,
17,185605.0,2016.0,41884,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,*,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,,,13.0,Overall,Overall,CHCKIDNY,883.0,7.0,,,,,,
18,186319.0,2016.0,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,*,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,,,8.0,Overall,Overall,CHCKIDNY,885.0,7.0,,,,,,
19,2716854.0,2016.0,CO,Colorado,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.3,,,2.0,2.6,432.0,Overall,Overall,CHCKIDNY,8.0,8.0,,,,,,
20,174700.0,2016.0,17820,"Colorado Springs, CO Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.6,,,1.7,3.6,56.0,Overall,Overall,CHCKIDNY,291.0,8.0,,,,,,
21,176267.0,2016.0,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.4,,,1.9,2.8,193.0,Overall,Overall,CHCKIDNY,337.0,8.0,,,,,,
22,2720660.0,2016.0,CT,Connecticut,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.9,,,2.5,3.3,367.0,Overall,Overall,CHCKIDNY,9.0,9.0,,,,,,
23,177914.0,2016.0,25540,"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,3.2,,,2.4,4.0,124.0,Overall,Overall,CHCKIDNY,476.0,9.0,,,,,,
24,2724815.0,2016.0,DE,Delaware,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,3.1,,,2.5,3.7,162.0,Overall,Overall,CHCKIDNY,10.0,10.0,,,,,,
25,2729439.0,2016.0,DC,District of Columbia,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.5,,,1.9,3.1,128.0,Overall,Overall,CHCKIDNY,11.0,11.0,,,,,,
26,188329.0,2016.0,47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.1,,,1.7,2.6,285.0,Overall,Overall,CHCKIDNY,1031.0,11.0,,,,,,
27,2734262.0,2016.0,FL,Florida,Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,3.2,,,2.8,3.5,1598.0,Overall,Overall,CHCKIDNY,12.0,12.0,,,,,,
28,176001.0,2016.0,18880,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,4.1,,,2.6,5.6,64.0,Overall,Overall,CHCKIDNY,315.0,12.0,,,,,,
29,176145.0,2016.0,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,4.2,,,2.8,5.5,62.0,Overall,Overall,CHCKIDNY,335.0,12.0,,,,,,
30,177407.0,2016.0,23540,"Gainesville, FL Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.6,,,1.3,4.0,34.0,Overall,Overall,CHCKIDNY,429.0,12.0,,,,,,
31,178988.0,2016.0,27260,"Jacksonville, FL Metropolitan Statistical Area",Chronic Health Indicators,Kidney,Ever told you have kidney disease?,Yes,BRFSS,%,Crude Prevalence,2.3,,,1.5,3.2,99.0,Overall,Overall,CHCKIDNY,523.0,12.0,,,,,,
