Categoria: Salute

Regione,kidney: (14/01/13 - 14/01/18)
Virginia Occidentale,100
Kentucky,90
Tennessee,90
Mississippi,89
Alabama,88
Arkansas,84
Indiana,80
Louisiana,80
Oklahoma,80
Arizona,80
Ohio,79
Missouri,79
Carolina del Sud,79
Michigan,78
Delaware,77
Nuovo Messico,76
Dakota del Sud,76
Pennsylvania,75
Maine,75
Dakota del Nord,74
Idaho,74
Carolina del Nord,74
Georgia,74
Utah,72
New Hampshire,72
Nebraska,71
Montana,71
Wyoming,71
Iowa,70
Alaska,70
Minnesota,70
Florida,70
Connecticut,70
Wisconsin,70
Maryland,69
Vermont,68
Washington,67
Texas,67
Nevada,67
Illinois,67
Hawaii,67
Rhode Island,66
Massachusetts,65
Kansas,65
New Jersey,64
Colorado,64
Distretto di Columbia,64
New York,62
Virginia,61
California,59
Oregon,55
