Categoria: Salute

Settimana,kidney: (Stati Uniti)
2013-01-20,77
2013-01-27,78
2013-02-03,75
2013-02-10,72
2013-02-17,77
2013-02-24,77
2013-03-03,78
2013-03-10,79
2013-03-17,80
2013-03-24,77
2013-03-31,78
2013-04-07,82
2013-04-14,79
2013-04-21,84
2013-04-28,80
2013-05-05,80
2013-05-12,78
2013-05-19,76
2013-05-26,74
2013-06-02,77
2013-06-09,75
2013-06-16,77
2013-06-23,75
2013-06-30,71
2013-07-07,76
2013-07-14,78
2013-07-21,81
2013-07-28,78
2013-08-04,78
2013-08-11,76
2013-08-18,75
2013-08-25,76
2013-09-01,75
2013-09-08,77
2013-09-15,77
2013-09-22,78
2013-09-29,76
2013-10-06,78
2013-10-13,80
2013-10-20,79
2013-10-27,82
2013-11-03,81
2013-11-10,80
2013-11-17,82
2013-11-24,67
2013-12-01,73
2013-12-08,72
2013-12-15,70
2013-12-22,65
2013-12-29,71
2014-01-05,76
2014-01-12,76
2014-01-19,77
2014-01-26,77
2014-02-02,75
2014-02-09,72
2014-02-16,79
2014-02-23,82
2014-03-02,77
2014-03-09,80
2014-03-16,82
2014-03-23,80
2014-03-30,82
2014-04-06,83
2014-04-13,83
2014-04-20,86
2014-04-27,86
2014-05-04,83
2014-05-11,81
2014-05-18,80
2014-05-25,78
2014-06-01,80
2014-06-08,79
2014-06-15,77
2014-06-22,80
2014-06-29,75
2014-07-06,80
2014-07-13,83
2014-07-20,86
2014-07-27,85
2014-08-03,82
2014-08-10,79
2014-08-17,82
2014-08-24,80
2014-08-31,79
2014-09-07,78
2014-09-14,79
2014-09-21,81
2014-09-28,80
2014-10-05,81
2014-10-12,81
2014-10-19,83
2014-10-26,83
2014-11-02,81
2014-11-09,85
2014-11-16,81
2014-11-23,70
2014-11-30,78
2014-12-07,78
2014-12-14,74
2014-12-21,65
2014-12-28,71
2015-01-04,81
2015-01-11,78
2015-01-18,80
2015-01-25,80
2015-02-01,76
2015-02-08,79
2015-02-15,79
2015-02-22,80
2015-03-01,80
2015-03-08,85
2015-03-15,85
2015-03-22,86
2015-03-29,88
2015-04-05,87
2015-04-12,89
2015-04-19,89
2015-04-26,87
2015-05-03,83
2015-05-10,84
2015-05-17,82
2015-05-24,82
2015-05-31,82
2015-06-07,88
2015-06-14,81
2015-06-21,83
2015-06-28,81
2015-07-05,86
2015-07-12,86
2015-07-19,86
2015-07-26,86
2015-08-02,85
2015-08-09,84
2015-08-16,85
2015-08-23,83
2015-08-30,83
2015-09-06,83
2015-09-13,84
2015-09-20,84
2015-09-27,85
2015-10-04,85
2015-10-11,87
2015-10-18,87
2015-10-25,87
2015-11-01,90
2015-11-08,92
2015-11-15,85
2015-11-22,78
2015-11-29,83
2015-12-06,83
2015-12-13,78
2015-12-20,74
2015-12-27,78
2016-01-03,84
2016-01-10,83
2016-01-17,82
2016-01-24,86
2016-01-31,85
2016-02-07,87
2016-02-14,87
2016-02-21,89
2016-02-28,87
2016-03-06,89
2016-03-13,86
2016-03-20,90
2016-03-27,91
2016-04-03,93
2016-04-10,98
2016-04-17,94
2016-04-24,90
2016-05-01,91
2016-05-08,91
2016-05-15,89
2016-05-22,84
2016-05-29,82
2016-06-05,86
2016-06-12,84
2016-06-19,86
2016-06-26,87
2016-07-03,84
2016-07-10,94
2016-07-17,91
2016-07-24,93
2016-07-31,89
2016-08-07,89
2016-08-14,89
2016-08-21,88
2016-08-28,88
2016-09-04,87
2016-09-11,90
2016-09-18,90
2016-09-25,91
2016-10-02,86
2016-10-09,86
2016-10-16,90
2016-10-23,87
2016-10-30,85
2016-11-06,78
2016-11-13,90
2016-11-20,75
2016-11-27,86
2016-12-04,86
2016-12-11,83
2016-12-18,77
2016-12-25,77
2017-01-01,84
2017-01-08,87
2017-01-15,88
2017-01-22,91
2017-01-29,90
2017-02-05,88
2017-02-12,88
2017-02-19,95
2017-02-26,91
2017-03-05,93
2017-03-12,93
2017-03-19,94
2017-03-26,97
2017-04-02,96
2017-04-09,97
2017-04-16,97
2017-04-23,98
2017-04-30,94
2017-05-07,95
2017-05-14,94
2017-05-21,94
2017-05-28,90
2017-06-04,91
2017-06-11,90
2017-06-18,93
2017-06-25,94
2017-07-02,89
2017-07-09,96
2017-07-16,97
2017-07-23,99
2017-07-30,96
2017-08-06,97
2017-08-13,92
2017-08-20,88
2017-08-27,90
2017-09-03,83
2017-09-10,95
2017-09-17,95
2017-09-24,98
2017-10-01,92
2017-10-08,95
2017-10-15,97
2017-10-22,96
2017-10-29,100
2017-11-05,97
2017-11-12,100
2017-11-19,86
2017-11-26,98
2017-12-03,95
2017-12-10,93
2017-12-17,89
2017-12-24,85
2017-12-31,89
2018-01-07,98
