"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"2951163";"2016";"AL";"Alabama";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.3";"";"";"2.8";"3.8";"294";"Overall";"Overall";"CHCKIDNY";"3";"3";"";"";"";"";"";""
"2951255";"2016";"AK";"Alaska";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.2";"";"";"1.4";"3.1";"77";"Overall";"Overall";"CHCKIDNY";"4";"4";"";"";"";"";"";""
"2951763";"2016";"AZ";"Arizona";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.4";"";"";"2.8";"4.0";"574";"Overall";"Overall";"CHCKIDNY";"5";"5";"";"";"";"";"";""
"2951305";"2016";"AR";"Arkansas";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.3";"";"";"2.6";"4.0";"283";"Overall";"Overall";"CHCKIDNY";"6";"6";"";"";"";"";"";""
"2951519";"2016";"CA";"California";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.7";"";"";"2.3";"3.0";"362";"Overall";"Overall";"CHCKIDNY";"7";"7";"";"";"";"";"";""
"2951932";"2016";"CO";"Colorado";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.2";"";"";"1.9";"2.5";"432";"Overall";"Overall";"CHCKIDNY";"8";"8";"";"";"";"";"";""
"2951960";"2016";"CT";"Connecticut";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.7";"";"";"2.2";"3.1";"367";"Overall";"Overall";"CHCKIDNY";"9";"9";"";"";"";"";"";""
"2951691";"2016";"DE";"Delaware";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.7";"";"";"2.2";"3.3";"162";"Overall";"Overall";"CHCKIDNY";"10";"10";"";"";"";"";"";""
"2952103";"2016";"DC";"District of Columbia";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.6";"";"";"2.0";"3.2";"128";"Overall";"Overall";"CHCKIDNY";"11";"11";"";"";"";"";"";""
"2952514";"2016";"FL";"Florida";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.7";"";"";"2.4";"3.0";"1598";"Overall";"Overall";"CHCKIDNY";"12";"12";"";"";"";"";"";""
