State;2011;2012;2013;2014;2015;2016
Alabama;13.0;14.8;13.6;12.1;10.1;9.1
Alaska;18.2;19.0;18.5;17.2;14.9;14.0
Arizona;17.3;18.0;17.1;13.6;10.8;10.0
Arkansas;17.5;18.4;16.0;11.8;9.5;7.9
California;19.7;17.9;17.2;12.4;8.6;7.3
Colorado;15.7;13.7;14.1;10.3;8.1;7.5
Connecticut;8.6;8.1;9.4;6.9;6.0;4.9
Delaware;10.0;10.8;9.1;7.8;5.9;5.7
District of Columbia;8.4;7.9;6.7;5.3;3.8;3.9
Florida;19.8;21.5;20.0;16.6;13.3;12.5
Georgia;19.2;19.2;18.8;15.8;13.9;12.9
Hawaii;7.8;7.7;6.7;5.3;4.0;3.5
Idaho;16.9;15.9;16.2;13.6;11.0;10.1
Illinois;14.7;13.6;12.7;9.7;7.1;6.5
Indiana;12.0;13.4;14.0;11.9;9.6;8.1
Iowa;10.0;10.1;8.1;6.2;5.0;4.3
Kansas;13.5;12.6;12.3;10.2;9.1;8.7
Kentucky;14.4;15.7;14.3;8.5;6.0;5.1
Louisiana;20.8;18.3;16.6;14.8;11.9;10.3
Maine;10.0;9.5;11.2;10.1;8.4;8.0
Maryland;13.8;12.4;10.2;7.9;6.6;6.1
Massachusetts;3.4;4.1;3.7;3.3;2.8;2.5
Michigan;12.5;10.9;11.0;8.5;6.1;5.4
Minnesota;9.2;8.3;8.2;5.9;4.5;4.1
Mississippi;16.2;15.3;17.1;14.5;12.7;11.8
Missouri;14.9;13.3;13.0;11.7;9.8;8.9
Montana;18.3;18.1;16.5;14.2;11.6;8.1
Nebraska;12.3;13.3;11.3;9.7;8.2;8.6
Nevada;22.6;23.5;20.7;15.2;12.3;11.4
New Hampshire;12.5;12.0;10.7;9.2;6.3;5.9
New Jersey;15.4;14.0;13.2;10.9;8.7;8.0
New Mexico;19.6;21.9;18.6;14.5;10.9;9.2
New York;12.2;11.3;10.7;8.7;7.1;6.1
North Carolina;16.3;17.2;15.6;13.1;11.2;10.4
North Dakota;9.1;11.5;10.4;7.9;7.8;7.0
Ohio;13.7;12.3;11.0;8.4;6.5;5.6
Oklahoma;16.9;17.2;17.7;15.4;13.9;13.8
Oregon;13.8;15.4;14.7;9.7;7.0;6.2
Pennsylvania;10.8;12.0;9.7;8.5;6.4;5.6
Rhode Island;12.0;12.3;11.6;7.4;5.7;4.3
South Carolina;19.0;14.3;15.8;13.6;10.9;10.0
South Dakota;13.0;14.4;11.3;9.8;10.2;8.7
Tennessee;13.3;13.9;13.9;12.0;10.3;9.0
Texas;23.8;24.6;22.1;19.1;17.1;16.6
Utah;14.6;14.4;14.0;12.5;10.5;8.8
Vermont;8.6;7.0;7.2;5.0;3.8;3.7
Virginia;13.4;12.5;12.3;10.9;9.1;8.7
Washington;14.5;13.6;14.0;9.2;6.6;6.0
West Virginia;14.9;14.6;14.0;8.6;6.0;5.3
Wisconsin;10.4;9.7;9.1;7.3;5.7;5.3
Wyoming;17.8;15.4;13.4;12.0;11.5;11.5
