keyword;correlation
liver disease;0.15196031016706715
diabetes;0.16172785478224994
renal failure;0.3953942808156907
hypertension;0.2674368360362349
disease;0.09088451099923965
kidney;0.33440585250705795
cardiovascular disease;0.2743365444112998
cirrhosis;0.3037315488107031
nephritis;0.25193235797913993
cardiomyopathy;0.08709143497361933
emphysema;0.16772432845615248
cystic fibrosis;0.06610802229102593
glaucoma;0.20162919692491713
sickle cell anemia;0.3029044668397259
diabetes mellitus;0.22212182855537646
coronary artery disease;0.381344579617714
juvenile diabetes;0.15589028335123248
congestive heart failure;0.35955559361724915
genetic disorder;0.31523344756674687
anemia;0.2386125599535812
pancreatitis;0.2552201159015263
atherosclerosis;0.13285274709320452
hypothyroidism;0.13985818615963502
diabetic;0.39576007361996196
Kawasaki Disease;0.19865727630109095
rheumatic fever;0.1841300355805038
nephrotic syndrome;0.3024673178672835
valvular heart disease;0.031788173425392675
metabolic disorder;0.08921489710801446
liver;0.2471578316841517
arteriosclerosis;0.20877176928634214
gout;0.24764677609204802
autoimmune disease;0.18527116070169436
retinopathy;0.150079757515697
osteoporosis;0.10335900251156822
kidney failure;0.2832110674839346
heart disease;0.2108802803552087
chronic renal failure;0.18412727118469288
liver cancer;0.290506976909003
polycystic kidney disease;0.4246627270961018
colon cancer;0.22479294752346665
cancer;0.20362717361371022
lupus;0.35817585770640026
dementia;0.16276278005750747
leukemia;0.17009077830747618
hemolytic anemia;0.26903942972716965
lung cancer;0.15059036897766934
iron overload;0.029004030970316032
pancreatic cancer;0.09561388511835317
acute myeloid leukemia;0.23909747859569133
prostate cancer;0.1769495174994726
epilepsy;-0.029440491975535308
macular degeneration;0.17486269990384395
pneumonia;0.23259193757653365
scleroderma;0.09560740528209073
lymphoblastic leukemia;-0.016424223624261935
lymphoma;0.09272144667873244
hemochromatosis;-0.1354610430166381
histiocytosis;0.18096787179905574
multiple myeloma;0.04177263021759876
nephrosis;0.06653342733020455
celiac disease;-0.06890013988390441
amyloidosis;-0.0680922781795482
arthritis;0.1758924507618291
aplastic anemia;0.2830488674925162
degenerative;0.28322803588146167
hypertrophic cardiomyopathy;0.1936845590481521
renal insufficiency;0.15561082702127213
aortic stenosis;0.29010189788313795
asthma;0.14216524633845312
multiple sclerosis;0.15330265875804253
preeclampsia;0.10023613488455933
rheumatoid arthritis;0.11690447852073783
uremia;0.3403277455713254
prediabetes;0.04574383340448385
vasculitis;0.08458970568671814
sleep apnea;0.13323668308685452
chronic lymphocytic leukemia;0.05071704621262988
lupus erythematosus;0.14723128989147793
systemic lupus erythematosus;0.23244755678292806
familial hypercholesterolemia;0.06431614054269197
ketoacidosis;0.17447468331867522
cataracts;0.15431841102630783
myotonic muscular dystrophy;0.14751301698213298
hyperparathyroidism;0.1699172137071933
dialysis;0.4149639913265064
sepsis;0.20489209566651803
ulcerative colitis;0.14062547633451214
pemphigus;0.21143828888689628
hyperkalemia;0.1954554613267705
inflammatory bowel disease;0.24829798199265304
neurological disorder;-0.021291776054302557
lymphocytic leukemia;0.027550702560154766
hyponatremia;0.11790293254821747
illness;0.06881525149786484
muscular dystrophy;0.08837736434303688
lichen planus;0.26387971479144623
leukodystrophy;0.07847345852290519
hydrocephalus;0.09118468871441959
breast cancer;0.21066357760007823
renal;0.30730725848700213
sugar diabetes;0.1537853630335484
mucoviscidosis;-0.043128425720850495
pyelitis;0.02602824643942732
necrobiosis lipoidica;0.07047837700307807
uropathy;0.14375750147973523
toxemia of pregnancy;0.23609009902458614
nephropathy;0.23853791170086047
diabetes insipidus;0.30077326334308524
Christmas Disease;0.06379309048608373
nephroptosis;0.2474919565106981
fatty liver;0.34114376782145345
anuresis;-0.18158952996456665
emia;-0.011949402271305398
fibrosis;0.1029388528372487
conversion disorder;0.1686466626894447
keratomalacia;-0.04585986648905276
rachischisis;0.06248315289654529
nephrolith;-0.02059878024463463
renal corpuscle;0.32805932167292706
renal cortex;0.0433027513609237
tetralogy of fallot;0.23488673876315128
chronic;0.10902239135706097
coeliac disease;0.13238771957651294
pulmonary emphysema;0.045603984732422
gas gangrene;0.016752982850295094
hyperthyroidism;0.16022333735553074
kalemia;-0.11011231899582714
cardiovascular;0.30054328515144496
cat scratch disease;0.11727745819831577
amyotrophic lateral sclerosis;0.2259123682771876
coronary thrombosis;0.07737639556135005
cor pulmonale;0.30987144795368676
high blood pressure;0.4223895474199128
gulf war syndrome;0.24833272873323134
respiratory disease;0.37805946498650117
Williams Syndrome;-0.06655826991659264
Newcastle Disease;-0.15194585638752264
diagnose;0.12708726849451293
albuminuria;0.07759484976996613
nephrite;0.15464335228770873
Pkd;0.1727886256022246
oliguria;0.3045618979552838
gravel;-0.13414139908427847
nephrosclerosis;0.024644533024208323
polycystic;0.13158145766130644
chlorothiazide;-0.06214759865924644
leptospirosis;0.19208570968456765
stone;0.09077031859255297
stoned;0.014795358527675181
stoning;0.11847909504122604
transplantation;0.0715794836585049
urine;0.2846093767687536
French;0.023022571441560415
polydipsia;0.27431290510437956
rheumatism;0.11344237833096903
ray;0.24711584621199656
azotemia;0.39375778093255615
haematuria;-0.0826806598255073
anuria;0.3290759862316382
ballottement;0.12935050319031247
donor;-0.06982208490995108
erythropoietin;0.17627510619452388
glomerulonephritis;0.255361176637862
hemodialysis;0.33855937764412664
hydronephrosis;0.2956899886196613
mannitol;0.10277424929074826
nephrectomy;0.4115936435380381
nephrology;0.17431250769138948
organ;0.14983540034868584
pyelonephritis;0.3147905073511739
spironolactone;0.13149139482407315
viscus;0.14725481090197284
azathioprine;0.19304764919215367
calyx;0.10785050757922798
capsule;0.24141622107863778
