"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"2270424";"2013";"US";"All States, DC and Territories (median) **";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.5";"";"";"";"";"53";"Overall";"Overall";"CHCKIDNY";"1";"1";"";"";"";"";"";""
"2270258";"2013";"UW";"All States and DC (median) **";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.5";"";"";"";"";"51";"Overall";"Overall";"CHCKIDNY";"2";"2";"";"";"";"";"";""
"2069036";"2013";"AL";"Alabama";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.9";"";"";"2.4";"3.4";"242";"Overall";"Overall";"CHCKIDNY";"3";"3";"";"";"";"";"";""
"2072466";"2013";"AK";"Alaska";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"1.7";"";"";"1.2";"2.2";"86";"Overall";"Overall";"CHCKIDNY";"4";"4";"";"";"";"";"";""
"2075783";"2013";"AZ";"Arizona";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.3";"";"";"2.3";"4.3";"184";"Overall";"Overall";"CHCKIDNY";"5";"5";"";"";"";"";"";""
"2079655";"2013";"AR";"Arkansas";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.1";"";"";"2.6";"3.7";"255";"Overall";"Overall";"CHCKIDNY";"6";"6";"";"";"";"";"";""
"2083819";"2013";"CA";"California";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.8";"";"";"2.3";"3.3";"349";"Overall";"Overall";"CHCKIDNY";"7";"7";"";"";"";"";"";""
"2087534";"2013";"CO";"Colorado";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.0";"";"";"1.7";"2.3";"345";"Overall";"Overall";"CHCKIDNY";"8";"8";"";"";"";"";"";""
"2091889";"2013";"CT";"Connecticut";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.1";"";"";"1.7";"2.5";"195";"Overall";"Overall";"CHCKIDNY";"9";"9";"";"";"";"";"";""
"2095140";"2013";"DE";"Delaware";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.6";"";"";"2.1";"3.1";"170";"Overall";"Overall";"CHCKIDNY";"10";"10";"";"";"";"";"";""
"2098673";"2013";"DC";"District of Columbia";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.4";"";"";"1.9";"3.0";"164";"Overall";"Overall";"CHCKIDNY";"11";"11";"";"";"";"";"";""
"2103254";"2013";"FL";"Florida";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.5";"";"";"3.0";"3.9";"1438";"Overall";"Overall";"CHCKIDNY";"12";"12";"";"";"";"";"";""
"2107383";"2013";"GA";"Georgia";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.7";"";"";"2.4";"3.1";"305";"Overall";"Overall";"CHCKIDNY";"13";"13";"";"";"";"";"";""
"2110545";"2013";"HI";"Hawaii";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.1";"";"";"2.6";"3.7";"285";"Overall";"Overall";"CHCKIDNY";"14";"14";"";"";"";"";"";""
"2114475";"2013";"ID";"Idaho";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.0";"";"";"1.6";"2.4";"163";"Overall";"Overall";"CHCKIDNY";"15";"15";"";"";"";"";"";""
"2118173";"2013";"IL";"Illinois";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.4";"";"";"1.9";"2.8";"191";"Overall";"Overall";"CHCKIDNY";"16";"16";"";"";"";"";"";""
"2121745";"2013";"IN";"Indiana";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.5";"";"";"2.2";"2.8";"360";"Overall";"Overall";"CHCKIDNY";"17";"17";"";"";"";"";"";""
"2125726";"2013";"IA";"Iowa";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.2";"";"";"1.8";"2.6";"215";"Overall";"Overall";"CHCKIDNY";"18";"18";"";"";"";"";"";""
"2130100";"2013";"KS";"Kansas";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.1";"";"";"1.9";"2.4";"617";"Overall";"Overall";"CHCKIDNY";"19";"19";"";"";"";"";"";""
"2133481";"2013";"KY";"Kentucky";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.7";"";"";"2.3";"3.1";"404";"Overall";"Overall";"CHCKIDNY";"20";"20";"";"";"";"";"";""
"2137129";"2013";"LA";"Louisiana";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.2";"";"";"1.8";"2.7";"185";"Overall";"Overall";"CHCKIDNY";"21";"21";"";"";"";"";"";""
"2141431";"2013";"ME";"Maine";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.3";"";"";"1.9";"2.6";"232";"Overall";"Overall";"CHCKIDNY";"22";"22";"";"";"";"";"";""
"2144663";"2013";"MD";"Maryland";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.2";"";"";"1.8";"2.6";"361";"Overall";"Overall";"CHCKIDNY";"23";"23";"";"";"";"";"";""
"2149356";"2013";"MA";"Massachusetts";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.1";"";"";"1.8";"2.5";"453";"Overall";"Overall";"CHCKIDNY";"24";"24";"";"";"";"";"";""
"2152469";"2013";"MI";"Michigan";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.0";"";"";"2.6";"3.4";"495";"Overall";"Overall";"CHCKIDNY";"25";"25";"";"";"";"";"";""
"2156736";"2013";"MN";"Minnesota";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"1.9";"";"";"1.5";"2.4";"360";"Overall";"Overall";"CHCKIDNY";"26";"26";"";"";"";"";"";""
"2159698";"2013";"MS";"Mississippi";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.8";"";"";"2.3";"3.3";"266";"Overall";"Overall";"CHCKIDNY";"27";"27";"";"";"";"";"";""
"2164414";"2013";"MO";"Missouri";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.0";"";"";"1.6";"2.4";"211";"Overall";"Overall";"CHCKIDNY";"28";"28";"";"";"";"";"";""
"2168157";"2013";"MT";"Montana";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.5";"";"";"2.1";"2.9";"290";"Overall";"Overall";"CHCKIDNY";"29";"29";"";"";"";"";"";""
"2172105";"2013";"NE";"Nebraska";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.0";"";"";"1.7";"2.3";"453";"Overall";"Overall";"CHCKIDNY";"30";"30";"";"";"";"";"";""
"2175502";"2013";"NV";"Nevada";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.7";"";"";"2.7";"4.7";"194";"Overall";"Overall";"CHCKIDNY";"31";"31";"";"";"";"";"";""
"2179320";"2013";"NH";"New Hampshire";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.7";"";"";"2.3";"3.2";"226";"Overall";"Overall";"CHCKIDNY";"32";"32";"";"";"";"";"";""
"2183019";"2013";"NJ";"New Jersey";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.4";"";"";"2.0";"2.8";"359";"Overall";"Overall";"CHCKIDNY";"33";"33";"";"";"";"";"";""
"2186589";"2013";"NM";"New Mexico";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.0";"";"";"2.6";"3.4";"360";"Overall";"Overall";"CHCKIDNY";"34";"34";"";"";"";"";"";""
"2191069";"2013";"NY";"New York";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.1";"";"";"1.7";"2.5";"228";"Overall";"Overall";"CHCKIDNY";"35";"35";"";"";"";"";"";""
"2194481";"2013";"NC";"North Carolina";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.6";"";"";"2.1";"3.0";"286";"Overall";"Overall";"CHCKIDNY";"36";"36";"";"";"";"";"";""
"2198802";"2013";"ND";"North Dakota";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.6";"";"";"2.1";"3.0";"224";"Overall";"Overall";"CHCKIDNY";"37";"37";"";"";"";"";"";""
"2202326";"2013";"OH";"Ohio";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.4";"";"";"2.0";"2.7";"410";"Overall";"Overall";"CHCKIDNY";"38";"38";"";"";"";"";"";""
"2205767";"2013";"OK";"Oklahoma";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.3";"";"";"2.9";"3.8";"317";"Overall";"Overall";"CHCKIDNY";"39";"39";"";"";"";"";"";""
"2210295";"2013";"OR";"Oregon";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.0";"";"";"2.4";"3.5";"213";"Overall";"Overall";"CHCKIDNY";"40";"40";"";"";"";"";"";""
"2213666";"2013";"PA";"Pennsylvania";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.4";"";"";"2.1";"2.8";"336";"Overall";"Overall";"CHCKIDNY";"41";"41";"";"";"";"";"";""
"2217505";"2013";"RI";"Rhode Island";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.0";"";"";"1.6";"2.5";"161";"Overall";"Overall";"CHCKIDNY";"42";"42";"";"";"";"";"";""
"2220969";"2013";"SC";"South Carolina";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.3";"";"";"1.9";"2.7";"318";"Overall";"Overall";"CHCKIDNY";"43";"43";"";"";"";"";"";""
"2225363";"2013";"SD";"South Dakota";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.5";"";"";"1.9";"3.1";"201";"Overall";"Overall";"CHCKIDNY";"44";"44";"";"";"";"";"";""
"2229456";"2013";"TN";"Tennessee";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.3";"";"";"1.8";"2.8";"177";"Overall";"Overall";"CHCKIDNY";"45";"45";"";"";"";"";"";""
"2232577";"2013";"TX";"Texas";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.1";"";"";"2.6";"3.5";"395";"Overall";"Overall";"CHCKIDNY";"46";"46";"";"";"";"";"";""
"2237180";"2013";"UT";"Utah";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.0";"";"";"2.7";"3.4";"452";"Overall";"Overall";"CHCKIDNY";"47";"47";"";"";"";"";"";""
"2240525";"2013";"VT";"Vermont";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.0";"";"";"1.6";"2.4";"164";"Overall";"Overall";"CHCKIDNY";"48";"48";"";"";"";"";"";""
"2244285";"2013";"VA";"Virginia";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.4";"";"";"2.0";"2.8";"237";"Overall";"Overall";"CHCKIDNY";"49";"49";"";"";"";"";"";""
"2248320";"2013";"WA";"Washington";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.4";"";"";"2.9";"3.9";"443";"Overall";"Overall";"CHCKIDNY";"50";"50";"";"";"";"";"";""
"2252235";"2013";"WV";"West Virginia";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.3";"";"";"2.8";"3.8";"227";"Overall";"Overall";"CHCKIDNY";"51";"51";"";"";"";"";"";""
"2256415";"2013";"WI";"Wisconsin";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.4";"";"";"1.9";"2.9";"203";"Overall";"Overall";"CHCKIDNY";"52";"52";"";"";"";"";"";""
"2259938";"2013";"WY";"Wyoming";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.8";"";"";"2.3";"3.3";"238";"Overall";"Overall";"CHCKIDNY";"53";"53";"";"";"";"";"";""
"2263364";"2013";"GU";"Guam";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"4.3";"";"";"3.1";"5.5";"80";"Overall";"Overall";"CHCKIDNY";"56";"56";"";"";"";"";"";""
"2267075";"2013";"PR";"Puerto Rico";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.7";"";"";"2.2";"3.2";"185";"Overall";"Overall";"CHCKIDNY";"60";"60";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Datasource";"";"Behavioral Risk Factor Surveillance System";"http://www.cdc.gov/brfss";"BRFSS";"CDC"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MeasureDefinitions";"%";"Percent";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MeasureDefinitions";"CI";"95% Confidence Interval";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MeasureDefinitions";"n";"“Sample Size”. Translates to the number of adult respondents who answered this question, or were assigned to this category based on question responses for a calculated variable, or the number of states included for a median.";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MeasureDefinitions";"N/A";"Translates to no data available for a record.";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MeasureDefinitions";"No Data";"Translates to no data available for record.";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SuggestedCitation";"";"Centers for Disease Control and Prevention, National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health. BRFSS Prevalence & Trends Data [online]. 2015.";"https://www.cdc.gov/brfss/brfssprevalence/";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RelatedLinks";"";"Prevalence Data and Data Analysis Tools";"/brfss/data_tools.htm";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RelatedLinks";"";"Behavioral Risk Factor Surveillance System (BRFSS)";"/brfss/index.html";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RelatedLinks";"";"Division of Population Health";"/nccdphp/dph/index.html";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RelatedLinks";"";"Survey Data & Documentation";"/brfss/data_documentation/index.htm";"";""
