"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"2922157";"2016";"US";"All States, DC and Territories (median) **";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.8";"";"";"";"";"54";"Overall";"Overall";"CHCKIDNY";"1";"1";"";"";"";"";"";""
"2921702";"2016";"UW";"All States and DC (median) **";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.8";"";"";"";"";"51";"Overall";"Overall";"CHCKIDNY";"2";"2";"";"";"";"";"";""
"2696407";"2016";"AL";"Alabama";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.7";"";"";"3.2";"4.2";"294";"Overall";"Overall";"CHCKIDNY";"3";"3";"";"";"";"";"";""
"173307";"2016";"13820";"Birmingham-Hoover, AL Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"4.0";"";"";"2.7";"5.3";"53";"Overall";"Overall";"CHCKIDNY";"195";"3";"";"";"";"";"";""
"188197";"2016";"46220";"Tuscaloosa, AL Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"1.9";"";"";"0.8";"2.9";"15";"Overall";"Overall";"CHCKIDNY";"994";"3";"";"";"";"";"";""
"2700405";"2016";"AK";"Alaska";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.3";"";"";"1.3";"3.2";"77";"Overall";"Overall";"CHCKIDNY";"4";"4";"";"";"";"";"";""
"171882";"2016";"11260";"Anchorage, AK Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.1";"";"";"1.5";"4.8";"35";"Overall";"Overall";"CHCKIDNY";"131";"4";"";"";"";"";"";""
"2703920";"2016";"AZ";"Arizona";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.7";"";"";"3.1";"4.3";"574";"Overall";"Overall";"CHCKIDNY";"5";"5";"";"";"";"";"";""
"183019";"2016";"38060";"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.6";"";"";"2.8";"4.3";"284";"Overall";"Overall";"CHCKIDNY";"792";"5";"";"";"";"";"";""
"2709172";"2016";"AR";"Arkansas";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.7";"";"";"3.0";"4.5";"283";"Overall";"Overall";"CHCKIDNY";"6";"6";"";"";"";"";"";""
"177033";"2016";"22220";"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"*";"*";"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.";"";"";"28";"Overall";"Overall";"CHCKIDNY";"399";"6";"";"";"";"";"";""
"179807";"2016";"30780";"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.9";"";"";"1.6";"4.2";"53";"Overall";"Overall";"CHCKIDNY";"603";"6";"";"";"";"";"";""
"2713300";"2016";"CA";"California";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.8";"";"";"2.4";"3.2";"362";"Overall";"Overall";"CHCKIDNY";"7";"7";"";"";"";"";"";""
"179711";"2016";"31080";"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.6";"";"";"1.9";"3.3";"100";"Overall";"Overall";"CHCKIDNY";"612";"7";"";"";"";"";"";""
"181687";"2016";"36084";"Oakland-Hayward-Berkeley, CA Metropolitan Division";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"4.0";"";"";"2.1";"5.9";"25";"Overall";"Overall";"CHCKIDNY";"740";"7";"";"";"";"";"";""
"183904";"2016";"40140";"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.5";"";"";"2.3";"4.6";"48";"Overall";"Overall";"CHCKIDNY";"842";"7";"";"";"";"";"";""
"185109";"2016";"40900";"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.4";"";"";"1.9";"4.8";"35";"Overall";"Overall";"CHCKIDNY";"862";"7";"";"";"";"";"";""
"185605";"2016";"41884";"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"*";"*";"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.";"";"";"13";"Overall";"Overall";"CHCKIDNY";"883";"7";"";"";"";"";"";""
"186319";"2016";"41940";"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"*";"*";"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.";"";"";"8";"Overall";"Overall";"CHCKIDNY";"885";"7";"";"";"";"";"";""
"2716854";"2016";"CO";"Colorado";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.3";"";"";"2.0";"2.6";"432";"Overall";"Overall";"CHCKIDNY";"8";"8";"";"";"";"";"";""
"174700";"2016";"17820";"Colorado Springs, CO Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.6";"";"";"1.7";"3.6";"56";"Overall";"Overall";"CHCKIDNY";"291";"8";"";"";"";"";"";""
"176267";"2016";"19740";"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.4";"";"";"1.9";"2.8";"193";"Overall";"Overall";"CHCKIDNY";"337";"8";"";"";"";"";"";""
"2720660";"2016";"CT";"Connecticut";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.9";"";"";"2.5";"3.3";"367";"Overall";"Overall";"CHCKIDNY";"9";"9";"";"";"";"";"";""
"177914";"2016";"25540";"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.2";"";"";"2.4";"4.0";"124";"Overall";"Overall";"CHCKIDNY";"476";"9";"";"";"";"";"";""
"2724815";"2016";"DE";"Delaware";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"3.1";"";"";"2.5";"3.7";"162";"Overall";"Overall";"CHCKIDNY";"10";"10";"";"";"";"";"";""
"2729439";"2016";"DC";"District of Columbia";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.5";"";"";"1.9";"3.1";"128";"Overall";"Overall";"CHCKIDNY";"11";"11";"";"";"";"";"";""
"188329";"2016";"47894";"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Crude Prevalence";"2.1";"";"";"1.7";"2.6";"285";"Overall";"Overall";"CHCKIDNY";"1031";"11";"";"";"";"";"";""
