Category: All categories

Region,Kidney: (2015)
West Virginia,100
Kentucky,92
Mississippi,91
Alabama,90
Tennessee,89
South Carolina,84
Arkansas,83
Ohio,83
Delaware,82
Arizona,80
Louisiana,80
Georgia,80
Pennsylvania,80
Indiana,79
Michigan,79
Maine,79
Missouri,79
North Carolina,78
Hawaii,78
South Dakota,78
Oklahoma,78
North Dakota,75
New Mexico,75
Alaska,75
Montana,74
Idaho,74
Iowa,74
Wisconsin,73
Maryland,73
Utah,73
Connecticut,72
Florida,72
New Hampshire,72
Minnesota,72
Washington,72
Nebraska,69
Nevada,69
Texas,69
Illinois,68
Massachusetts,68
Wyoming,67
New Jersey,67
Vermont,67
District of Columbia,66
Rhode Island,66
Colorado,66
New York,65
California,61
Kansas,60
Oregon,53
Virginia,51
