"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"2937600";"2014";"AL";"Alabama";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.8";"";"";"2.3";"3.2";"328";"Overall";"Overall";"CHCKIDNY";"3";"3";"";"";"";"";"";""
"2938033";"2014";"AK";"Alaska";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.2";"";"";"1.5";"2.8";"117";"Overall";"Overall";"CHCKIDNY";"4";"4";"";"";"";"";"";""
"2938528";"2014";"AZ";"Arizona";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.2";"";"";"2.8";"3.6";"792";"Overall";"Overall";"CHCKIDNY";"5";"5";"";"";"";"";"";""
"2938262";"2014";"AR";"Arkansas";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.7";"";"";"2.2";"3.2";"246";"Overall";"Overall";"CHCKIDNY";"6";"6";"";"";"";"";"";""
"2938581";"2014";"CA";"California";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.4";"";"";"2.0";"2.8";"251";"Overall";"Overall";"CHCKIDNY";"7";"7";"";"";"";"";"";""
"2938313";"2014";"CO";"Colorado";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.4";"";"";"2.1";"2.7";"401";"Overall";"Overall";"CHCKIDNY";"8";"8";"";"";"";"";"";""
"2938825";"2014";"CT";"Connecticut";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.3";"";"";"1.9";"2.7";"234";"Overall";"Overall";"CHCKIDNY";"9";"9";"";"";"";"";"";""
"2938948";"2014";"DE";"Delaware";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.2";"";"";"2.5";"3.9";"180";"Overall";"Overall";"CHCKIDNY";"10";"10";"";"";"";"";"";""
"2938392";"2014";"DC";"District of Columbia";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.3";"";"";"1.6";"3.1";"137";"Overall";"Overall";"CHCKIDNY";"11";"11";"";"";"";"";"";""
"2939128";"2014";"FL";"Florida";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.4";"";"";"2.9";"3.8";"435";"Overall";"Overall";"CHCKIDNY";"12";"12";"";"";"";"";"";""
"2939713";"2014";"GA";"Georgia";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.9";"";"";"2.5";"3.4";"279";"Overall";"Overall";"CHCKIDNY";"13";"13";"";"";"";"";"";""
"2939949";"2014";"HI";"Hawaii";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.9";"";"";"3.3";"4.5";"343";"Overall";"Overall";"CHCKIDNY";"14";"14";"";"";"";"";"";""
"2939764";"2014";"ID";"Idaho";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.3";"";"";"1.8";"2.8";"175";"Overall";"Overall";"CHCKIDNY";"15";"15";"";"";"";"";"";""
"2940000";"2014";"IL";"Illinois";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.5";"";"";"1.9";"3.1";"161";"Overall";"Overall";"CHCKIDNY";"16";"16";"";"";"";"";"";""
"2939318";"2014";"IN";"Indiana";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.5";"";"";"2.2";"2.8";"417";"Overall";"Overall";"CHCKIDNY";"17";"17";"";"";"";"";"";""
"2940147";"2014";"IA";"Iowa";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.5";"";"";"2.0";"3.0";"263";"Overall";"Overall";"CHCKIDNY";"18";"18";"";"";"";"";"";""
"2939466";"2014";"KS";"Kansas";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.5";"";"";"2.2";"2.7";"444";"Overall";"Overall";"CHCKIDNY";"19";"19";"";"";"";"";"";""
"2939589";"2014";"KY";"Kentucky";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.2";"";"";"2.7";"3.7";"536";"Overall";"Overall";"CHCKIDNY";"20";"20";"";"";"";"";"";""
"2940596";"2014";"LA";"Louisiana";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.8";"";"";"2.3";"3.2";"246";"Overall";"Overall";"CHCKIDNY";"21";"21";"";"";"";"";"";""
"2940228";"2014";"ME";"Maine";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.0";"";"";"1.6";"2.4";"283";"Overall";"Overall";"CHCKIDNY";"22";"22";"";"";"";"";"";""
"2940943";"2014";"MD";"Maryland";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.8";"";"";"2.2";"3.4";"471";"Overall";"Overall";"CHCKIDNY";"23";"23";"";"";"";"";"";""
"2940674";"2014";"MA";"Massachusetts";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.9";"";"";"2.5";"3.4";"610";"Overall";"Overall";"CHCKIDNY";"24";"24";"";"";"";"";"";""
"2940306";"2014";"MI";"Michigan";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.0";"";"";"2.5";"3.4";"354";"Overall";"Overall";"CHCKIDNY";"25";"25";"";"";"";"";"";""
"2940429";"2014";"MN";"Minnesota";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.0";"";"";"1.7";"2.2";"395";"Overall";"Overall";"CHCKIDNY";"26";"26";"";"";"";"";"";""
"2940552";"2014";"MS";"Mississippi";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.7";"";"";"2.1";"3.4";"173";"Overall";"Overall";"CHCKIDNY";"27";"27";"";"";"";"";"";""
"2940777";"2014";"MO";"Missouri";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.2";"";"";"1.8";"2.6";"249";"Overall";"Overall";"CHCKIDNY";"28";"28";"";"";"";"";"";""
"2941503";"2014";"MT";"Montana";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.3";"";"";"1.8";"2.8";"232";"Overall";"Overall";"CHCKIDNY";"29";"29";"";"";"";"";"";""
"2941626";"2014";"NE";"Nebraska";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.0";"";"";"1.8";"2.2";"684";"Overall";"Overall";"CHCKIDNY";"30";"30";"";"";"";"";"";""
"2941236";"2014";"NV";"Nevada";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.0";"";"";"2.2";"3.9";"158";"Overall";"Overall";"CHCKIDNY";"31";"31";"";"";"";"";"";""
"2942163";"2014";"NH";"New Hampshire";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"1.8";"";"";"1.5";"2.2";"182";"Overall";"Overall";"CHCKIDNY";"32";"32";"";"";"";"";"";""
"2941289";"2014";"NJ";"New Jersey";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.2";"";"";"1.9";"2.6";"373";"Overall";"Overall";"CHCKIDNY";"33";"33";"";"";"";"";"";""
"2941823";"2014";"NM";"New Mexico";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.0";"";"";"2.5";"3.5";"357";"Overall";"Overall";"CHCKIDNY";"34";"34";"";"";"";"";"";""
"2941946";"2014";"NY";"New York";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"1.9";"";"";"1.5";"2.3";"165";"Overall";"Overall";"CHCKIDNY";"35";"35";"";"";"";"";"";""
"2942069";"2014";"NC";"North Carolina";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.4";"";"";"2.0";"2.8";"232";"Overall";"Overall";"CHCKIDNY";"36";"36";"";"";"";"";"";""
"2942562";"2014";"ND";"North Dakota";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.1";"";"";"1.7";"2.4";"231";"Overall";"Overall";"CHCKIDNY";"37";"37";"";"";"";"";"";""
"2942685";"2014";"OH";"Ohio";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.6";"";"";"2.2";"3.0";"448";"Overall";"Overall";"CHCKIDNY";"38";"38";"";"";"";"";"";""
"2942223";"2014";"OK";"Oklahoma";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.4";"";"";"2.1";"2.8";"292";"Overall";"Overall";"CHCKIDNY";"39";"39";"";"";"";"";"";""
"2943026";"2014";"OR";"Oregon";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"3.1";"";"";"2.6";"3.7";"226";"Overall";"Overall";"CHCKIDNY";"40";"40";"";"";"";"";"";""
"2942274";"2014";"PA";"Pennsylvania";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.4";"";"";"2.1";"2.8";"354";"Overall";"Overall";"CHCKIDNY";"41";"41";"";"";"";"";"";""
"2942881";"2014";"RI";"Rhode Island";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.3";"";"";"1.7";"2.9";"183";"Overall";"Overall";"CHCKIDNY";"42";"42";"";"";"";"";"";""
"2942422";"2014";"SC";"South Carolina";"Chronic Health Indicators";"Kidney";"Ever told you have kidney disease?";"Yes";"BRFSS";"%";"Age-adjusted Prevalence";"2.5";"";"";"2.1";"2.8";"360";"Overall";"Overall";"CHCKIDNY";"43";"43";"";"";"";"";"";""
