keyword;correlation
liver disease;0.0045292329249733395
diabetes;-0.0016698266233902137
renal failure;0.08104768321759102
hypertension;0.047776470611751075
disease;-0.27547799125324407
kidney;0.22204992496679135
cardiovascular disease;0.05830508194545662
cirrhosis;0.0832711206858731
nephritis;0.13055210296233347
cardiomyopathy;-0.16448058162216336
emphysema;-0.009455778606466155
cystic fibrosis;-0.2760567936168756
glaucoma;0.15519384807810852
sickle cell anemia;0.0051329260286825775
diabetes mellitus;-0.006168506346503923
coronary artery disease;0.16317892698305514
juvenile diabetes;0.03280965948355835
congestive heart failure;0.06435151636283465
genetic disorder;0.06033372819617953
anemia;0.0747710960667569
pancreatitis;0.08313655303694732
atherosclerosis;0.046711835043583415
hypothyroidism;-0.016446150149605786
diabetic;0.18796198163378464
Kawasaki Disease;0.029653823243160838
rheumatic fever;-0.08957377204362749
nephrotic syndrome;0.04775014208594224
valvular heart disease;-0.05826394440962957
metabolic disorder;-0.03856850206592984
liver;0.2524617295194526
arteriosclerosis;0.12047589327633872
gout;0.2855674841784297
autoimmune disease;-0.16889301066192772
retinopathy;0.08270456434526312
osteoporosis;0.04121977090279063
kidney failure;0.12497263079470818
heart disease;-0.06281695834979183
chronic renal failure;-0.00021600366514334772
liver cancer;0.0508854610678153
polycystic kidney disease;0.15462552343760672
colon cancer;-0.11771681775367389
cancer;-0.025243227360875656
lupus;0.07507682228652149
dementia;-0.11704003874093755
leukemia;-0.14048894043952448
hemolytic anemia;0.07025615974858912
lung cancer;-0.10047100637635353
iron overload;-0.09045137746982461
pancreatic cancer;-0.1977815823523125
acute myeloid leukemia;-0.06955744136302171
prostate cancer;0.06723546044152627
epilepsy;-0.2578860516394269
macular degeneration;-0.07290737350513736
pneumonia;-0.08319518835267296
scleroderma;-0.20182341168597664
lymphoblastic leukemia;0.044045435357073726
lymphoma;-0.30375447475225076
hemochromatosis;-0.15290041331100945
histiocytosis;0.05392886252770879
multiple myeloma;-0.21951421873495439
nephrosis;0.003519303386042934
celiac disease;-0.3790025380882483
amyloidosis;-0.16686934057397118
arthritis;-0.0798854616559113
aplastic anemia;0.11885622430578163
degenerative;-0.005628476459726459
hypertrophic cardiomyopathy;0.1273797087879717
renal insufficiency;0.1001098570540117
aortic stenosis;0.14535641076046082
asthma;-0.07483838388541401
multiple sclerosis;-0.18048601272185114
preeclampsia;-0.10867907266553234
rheumatoid arthritis;0.08720731516982587
uremia;0.1361096683741655
prediabetes;-0.040658375284256816
vasculitis;-0.13063189612092188
sleep apnea;0.07791423579184396
chronic lymphocytic leukemia;0.10500315256240923
lupus erythematosus;-0.018508571603979774
systemic lupus erythematosus;0.060724418689894095
familial hypercholesterolemia;-0.042957596513998796
ketoacidosis;-0.07046673658766787
cataracts;-0.04231432233874929
myotonic muscular dystrophy;0.11563298393885278
hyperparathyroidism;-0.12076167913966263
dialysis;0.3269179152506621
sepsis;-0.007848085170299808
ulcerative colitis;-0.1704842255554088
pemphigus;-0.0012970299773454042
hyperkalemia;0.07423074215705942
inflammatory bowel disease;0.09098754787943258
neurological disorder;-0.05826394440962957
lymphocytic leukemia;-0.03153293412091467
hyponatremia;0.12422881502576594
illness;-0.07835694643127405
muscular dystrophy;0.04186273960260975
lichen planus;-0.0572409907411692
leukodystrophy;0.08272793458186335
hydrocephalus;-0.05975626846200927
breast cancer;-0.04628437506706128
renal;0.1403087595391095
sugar diabetes;0.05603499940548796
mucoviscidosis;-0.0503174438462913
pyelitis;0.18193397907305642
necrobiosis lipoidica;0.11638963960944387
uropathy;0.08570230878562084
toxemia of pregnancy;0.10498103536845864
nephropathy;-0.00836957252524131
diabetes insipidus;0.13904589970259063
Christmas Disease;0.05771313071473686
nephroptosis;0.17171725961716167
fatty liver;0.3723172612511647
anuresis;-0.08969316839885745
emia;0.029772060282367997
fibrosis;-0.1586920330465387
conversion disorder;0.054689719393159725
keratomalacia;-0.004955528098410298
rachischisis;-0.08737094067872507
nephrolith;0.03910120011249572
renal corpuscle;0.06188291004814658
renal cortex;-0.01986846220529656
tetralogy of fallot;-0.15657606836280244
chronic;-0.1311247971831337
coeliac disease;0.11372129656868418
pulmonary emphysema;0.18876624157185037
gas gangrene;-0.06497803067796716
hyperthyroidism;-0.09240550190868348
kalemia;-0.12295133794754415
cardiovascular;0.15053398633603152
cat scratch disease;-0.023923518290634927
amyotrophic lateral sclerosis;0.10174047196538683
coronary thrombosis;-0.07996393304994542
cor pulmonale;0.25821282567889914
high blood pressure;0.3084823619454513
gulf war syndrome;0.07337036358921246
respiratory disease;0.11953134230224738
Williams Syndrome;-0.2014238052601105
Newcastle Disease;-0.18887762198726057
diagnose;-0.018378073145797355
albuminuria;0.12385710157053605
nephrite;0.09496458844912148
Pkd;0.003885123792010432
oliguria;-0.02281554783698907
gravel;-0.27216162387405446
nephrosclerosis;0.016218921977035946
polycystic;-0.005122379636991039
chlorothiazide;-0.03606140219031905
leptospirosis;0.33282646152532375
stone;-0.22366962652710487
stoned;-0.024814315142295647
stoning;0.021558185032582847
transplantation;-0.03581007336724108
urine;0.11771655053805753
French;-0.1525929873066229
polydipsia;0.10470912065117068
rheumatism;0.004119739221207084
ray;0.10815629918080921
azotemia;0.21344879712270645
haematuria;-0.11535776421886357
anuria;0.2339344346479573
ballottement;0.07431349294944783
donor;-0.18663996847919653
erythropoietin;0.004321349200043516
glomerulonephritis;0.06155960850764241
hemodialysis;0.013080741843712431
hydronephrosis;0.06701880256465824
mannitol;0.0025248280988638696
nephrectomy;0.19874783649994907
nephrology;-0.019192184965379017
organ;-0.04593495999149596
pyelonephritis;0.03522185367695072
spironolactone;-0.006935917776792622
viscus;0.0783185994203449
azathioprine;-0.04602575226897846
calyx;-0.015698261056813607
capsule;0.17241595991399153
