keyword;correlation
liver disease;0.13719594098707885
diabetes;0.024372985558522395
renal failure;0.20852385445551247
hypertension;0.115406295211071
disease;-0.025497589753911806
kidney;0.216268413412555
cardiovascular disease;0.04372593245776928
cirrhosis;0.23541160968843688
nephritis;0.19334442361446813
cardiomyopathy;0.010231378485685427
emphysema;0.02883094983086178
cystic fibrosis;-0.05093570527323015
glaucoma;0.06830483520566277
sickle cell anemia;0.13422878589565748
diabetes mellitus;0.05933018767097941
coronary artery disease;0.139887809024299
juvenile diabetes;-0.01587589419455661
congestive heart failure;0.21791360337758411
genetic disorder;0.09205282058131974
anemia;0.09991914190796079
pancreatitis;0.18760791496334028
atherosclerosis;0.041544170587716735
hypothyroidism;0.05368916735715076
diabetic;0.2614699249963156
Kawasaki Disease;0.14857482698140254
rheumatic fever;0.03706730125132183
nephrotic syndrome;0.1141087753331363
valvular heart disease;-0.0262728837980807
metabolic disorder;-0.12510660191385203
liver;0.1301414847369797
arteriosclerosis;0.06382463148103135
gout;0.13608222524787214
autoimmune disease;-0.03452403233595164
retinopathy;0.10607369707584151
osteoporosis;-0.029298589508533535
kidney failure;0.18718724531292738
heart disease;0.07478562404528409
chronic renal failure;0.07695884463224642
liver cancer;0.03844368051520549
polycystic kidney disease;0.24276942766591203
colon cancer;0.03649052565024837
cancer;0.059010638752293364
lupus;0.15455318100709783
dementia;0.03085632058301412
leukemia;0.028448112947937237
hemolytic anemia;-0.031522442071050046
lung cancer;0.033494706736112885
iron overload;-0.15414299117224586
pancreatic cancer;-0.07523349437891831
acute myeloid leukemia;-0.016862348347189363
prostate cancer;0.03565996755397625
epilepsy;-0.1490971814334606
macular degeneration;-0.039902202665894886
pneumonia;0.07956028168987687
scleroderma;0.0030488108859262598
lymphoblastic leukemia;0.07534153939141329
lymphoma;-0.04709209658007713
hemochromatosis;-0.013806200290550257
histiocytosis;0.007178038809338855
multiple myeloma;-0.0678389391633173
nephrosis;0.013240825141764603
celiac disease;-0.13085354440309963
amyloidosis;-0.1270483758259148
arthritis;0.07325614946269417
aplastic anemia;0.1587035844923792
degenerative;0.17003727071257294
hypertrophic cardiomyopathy;0.12624345407587567
renal insufficiency;0.1243981940505043
aortic stenosis;0.15920227015004498
asthma;0.01921857199370052
multiple sclerosis;0.032969057186480306
preeclampsia;-0.008236761762125573
rheumatoid arthritis;0.027800125830845707
uremia;0.1351662881276295
prediabetes;-0.1126983732627896
vasculitis;0.01269506674676076
sleep apnea;0.041457787902694915
chronic lymphocytic leukemia;-0.09755692317090968
lupus erythematosus;0.12367445929268499
systemic lupus erythematosus;0.03480282903933695
familial hypercholesterolemia;-0.027185187511623743
ketoacidosis;0.06828383343152286
cataracts;0.03471698839244743
myotonic muscular dystrophy;0.15778246191954268
hyperparathyroidism;0.036445709706685446
dialysis;0.21779976836021295
sepsis;0.1183254990465904
ulcerative colitis;-0.02198564741069251
pemphigus;0.07379484139013032
hyperkalemia;0.1457902028673376
inflammatory bowel disease;0.08581607636403182
neurological disorder;-0.08933531218434376
lymphocytic leukemia;-0.04194403349780285
hyponatremia;0.0711209443590213
illness;-0.0352771745258739
muscular dystrophy;-0.02650044700725587
lichen planus;0.10511712357501896
leukodystrophy;0.0021274418114459958
hydrocephalus;0.015309166329616848
breast cancer;0.036205652075925236
renal;0.20565216353779536
sugar diabetes;0.1682444668411961
mucoviscidosis;-0.08024646050467742
pyelitis;0.007306405397198692
necrobiosis lipoidica;0.03618504089798681
uropathy;0.06923525859013008
toxemia of pregnancy;0.11444159160105971
nephropathy;0.1067576033594485
diabetes insipidus;0.20019531546395478
Christmas Disease;0.043484343807943145
nephroptosis;0.2423569448848799
fatty liver;0.29416596000557765
anuresis;-0.18810417722919281
emia;-0.09474352993141459
fibrosis;-0.034509875301489266
conversion disorder;0.13013296457012583
keratomalacia;-0.13224677889972458
rachischisis;-0.11546218370266094
nephrolith;-0.04207643391438413
renal corpuscle;0.08513401807947406
renal cortex;0.07174576464214347
tetralogy of fallot;0.05548626142455896
chronic;0.027763582918911154
coeliac disease;0.034653592836634155
pulmonary emphysema;0.003558806554589755
gas gangrene;-0.12480338594424013
hyperthyroidism;0.05934644037145884
kalemia;-0.17285331790437206
cardiovascular;0.1665586766114511
cat scratch disease;-0.05320907882251824
amyotrophic lateral sclerosis;0.007747669427262166
coronary thrombosis;0.03311142057276522
cor pulmonale;0.172989433567215
high blood pressure;0.24948857535150035
gulf war syndrome;0.11889898182673934
respiratory disease;0.1089505473972908
Williams Syndrome;-0.07290745499400095
Newcastle Disease;-0.2092029462544759
diagnose;0.02933963214716366
albuminuria;0.12079658817925933
nephrite;0.05984033224333837
Pkd;0.02287686375600732
oliguria;0.16342637630319276
gravel;-0.15643877513120755
nephrosclerosis;-0.024817686634378514
polycystic;0.058943841245045585
chlorothiazide;-0.12924241703208234
leptospirosis;0.04699519616362519
stone;-0.039762972549471115
stoned;0.027718209268449024
stoning;-0.05712762483788832
transplantation;-0.08523918419248903
urine;0.17388601599138945
French;-0.10283794749437987
polydipsia;0.16277134491377723
rheumatism;-0.015564190715751818
ray;0.09113758739610213
azotemia;0.28464387810407454
haematuria;-0.12889790035129947
anuria;0.21111370307947294
ballottement;0.10466814383867239
donor;-0.16008839050654822
erythropoietin;0.08695952235262984
glomerulonephritis;0.1312880780096266
hemodialysis;0.15801238783812008
hydronephrosis;0.20031289234610758
mannitol;0.08893094338363178
nephrectomy;0.24699995438552494
nephrology;0.1462897605278534
organ;0.07005069105896661
pyelonephritis;0.13119126294925287
spironolactone;0.043785569891273024
viscus;0.03207631094223811
azathioprine;0.00917680154030364
calyx;-0.028947846767079514
capsule;0.08369235377475488
